0.005,381.8
0.01,346.2
0.015,332.4
0.02,312.6
0.025,310.4
0.03,313.4
0.035,312.5
0.04,315.8
0.045,334.1
0.05,322.8
0.055,320.7
0.06,511.7
0.065,458.9
0.07,409.2
0.075,400.4
0.08,396.7
0.085,398.3
0.09,407.9
0.095,477.1
0.1,459.9
0.105,480.5
0.11,533.6
0.115,459.2
0.12,420.9
0.125,394.0
0.13,404.4
0.135,414.8
0.14,397.2
0.145,474.2
0.15,468.4
0.155,460.5
0.16,502.5
0.165,438.2
0.17,401.0
0.175,384.5
0.18,377.6
0.185,370.7
0.19,390.9
0.195,454.4
0.2,485.1
0.205,480.3
0.21,520.8
0.215,469.3
0.22,425.5
0.225,392.0
0.23,386.6
0.235,397.2
0.24,402.3
0.245,470.7
0.25,468.9
0.255,461.7
0.26,535.8
0.265,462.0
0.27,433.2
0.275,400.1
0.28,394.4
0.285,394.4
0.29,401.2
0.295,468.5
0.3,466.9
0.305,462.5
0.31,515.9
0.315,479.9
0.32,450.6
0.325,403.3
0.33,399.0
0.335,395.4
0.34,408.3
0.345,468.2
0.35,465.8
0.355,474.9
0.36,613.9
0.365,482.2
0.37,445.6
0.375,402.6
0.38,404.4
0.385,394.6
0.39,408.1
0.395,470.9
0.4,469.9
0.405,467.9
0.41,581.7
0.415,483.4
0.42,456.9
0.425,405.8
0.43,420.5
0.435,409.7
0.44,407.2
0.445,472.7
0.45,469.2
0.455,465.7
0.46,538.5
0.465,558.1
0.47,497.7
0.475,457.5
0.48,415.1
0.485,408.7
0.49,412.9
0.495,468.5
0.5,470.0
0.505,466.8
0.51,626.3
0.515,496.8
0.52,477.0
0.525,419.8
0.53,405.9
0.535,408.2
0.54,392.7
0.545,464.7
0.55,463.1
0.555,456.2
0.56,645.3
0.565,581.9
0.57,473.4
0.575,405.0
0.58,399.3
0.585,391.8
0.59,399.8
0.595,471.6
0.6,464.7
0.605,469.3
